,Unnamed: 0,beds,baths,size,lot_size,zip_code,price,Area,Possibility to negotiate,Price cut on original price,longitude,latitude
0,0,5,3.5,2438.7,5468.3,98144,754767.6,Central/Downtown,Middle,8386,-122.30081,47.58577
1,1,6,3.0,2162.4,13068.0,98106,882395.8,Central/Downtown,Middle,4902,-122.35443,47.53282
2,2,5,4.0,1923.2,3508.1,98107,906536.3,Central/Downtown,Middle,40290,-122.37468,47.66747
3,3,6,5.0,3729.2,5080.2,98199,1850627.0,Central/Downtown,Middle,92531,-122.39758,47.64767
4,4,3,4.0,1090.3,39204.0,98107,709016.5,Central/Downtown,Middle,31511,-122.37468,47.66747
5,5,3,3.0,623.4,5725.9,98133,432116.1,Central/Downtown,Middle,12003,-122.34461,47.733852
6,6,6,4.5,4293.4,5756.5,98105,3087817.6,Central/Downtown,Middle,51463,-122.30118,47.66377
7,7,5,3.5,1484.7,701.8,98108,557502.3,Central/Downtown,High,15486,-122.31514,47.546188
8,8,6,3.0,2179.8,9199.3,98178,653222.3,Central/Downtown,Middle,3629,-122.24664,47.497971
9,9,5,4.0,1219.8,1250.5,98103,873158.5,Central/Downtown,Low,38807,-122.34166,47.671346
10,10,5,4.0,1630.0,3662.4,98177,994980.6,Central/Downtown,Middle,5527,-122.36978,47.740886
11,11,4,3.5,2425.1,5682.0,98103,889895.4,Central/Downtown,Middle,19775,-122.34166,47.671346
12,12,6,4.0,2475.6,6027.8,98115,1485771.9,Central/Downtown,Middle,16508,-122.30122,47.68382
13,13,6,2.5,2435.7,4715.8,98199,1205503.0,Central/Downtown,Low,60275,-122.39758,47.64767
14,14,5,3.5,2885.1,3801.4,98119,1697559.7,Central/Downtown,Low,66016,-122.36694,47.63877
15,15,5,5.5,1934.2,1531.6,98117,958735.1,Central/Downtown,High,37284,-122.37838,47.685919
16,16,4,3.0,1291.0,1051.4,98199,834923.9,Central/Downtown,Middle,37107,-122.39758,47.64767
17,17,5,4.0,2530.1,5194.9,98116,1178944.1,Central/Downtown,Middle,26198,-122.39392,47.57487
18,18,4,2.0,760.8,4837.0,98133,499012.6,Central/Downtown,Middle,22178,-122.34461,47.733852
19,19,5,3.5,1197.6,8606.2,98146,606404.8,Central/Downtown,Middle,13475,-122.35688,47.501753
20,20,6,4.5,3053.4,9083.9,98133,1161072.0,Central/Downtown,Middle,0,-122.34461,47.733852
21,21,4,2.5,805.2,8712.0,98103,651163.2,Central/Downtown,Middle,21705,-122.34166,47.671346
22,22,4,3.0,3030.2,4692.8,98117,1201429.1,Central/Downtown,Middle,0,-122.37838,47.685919
